,Name,Purpose,Unnamed: 0,Blob,Sentiment Score
300,"Martin, Hines and Clark",Customizable user-facing solution for harness scalable e-services,,Customizable user-facing solution for harness scalable e-services,0.0
299,Evans Ltd,Team-oriented upward-trending focus group for redefine synergistic users,,Team-oriented upward-trending focus group for redefine synergistic users,0.0
298,"Davis, Valdez and Keller",Ameliorated client-server architecture for matrix real-time initiatives,,Ameliorated client-server architecture for matrix real-time initiatives,0.0
367,Harper-Rubio, Team-oriented heuristic complexity for embrace enterprise interfaces,, Team-oriented heuristic complexity for embrace enterprise interfaces,0.0
380,"Leach, Schwartz and Adams", Monitored eco-centric Local Area Network for streamline cross-media experiences,, Monitored eco-centric Local Area Network for streamline cross-media experiences,0.0
369,Moore-Evans, Devolved responsive instruction set for iterate value-added mindshare,, Devolved responsive instruction set for iterate value-added mindshare,0.0
370,French-Daniel, Exclusive motivating monitoring for syndicate strategic paradigms,, Exclusive motivating monitoring for syndicate strategic paradigms,0.0
463,"Moore, Mcintyre and Campbell",Intuitive 24hour algorithm for drive out-of-the-box networks,,Intuitive 24hour algorithm for drive out-of-the-box networks,0.0
462,Washington-Mccormick,Intuitive demand-driven project for deploy killer models,,Intuitive demand-driven project for deploy killer models,0.0
461,Williamson-Johnson,Versatile upward-trending task-force for disintermediate clicks-and-mortar e-markets,,Versatile upward-trending task-force for disintermediate clicks-and-mortar e-markets,0.0
460,"Vaughan, Calderon and Holland",Distributed maximized portal for cultivate cross-media convergence,,Distributed maximized portal for cultivate cross-media convergence,0.0
459,Davidson Ltd,Object-based non-volatile protocol for deliver clicks-and-mortar e-services,,Object-based non-volatile protocol for deliver clicks-and-mortar e-services,0.0
458,Simpson and Sons,Ameliorated encompassing website for expedite proactive platforms,,Ameliorated encompassing website for expedite proactive platforms,0.0
457,Roberts and Sons,Sharable 4thgeneration open system for transform cross-platform e-tailers,,Sharable 4thgeneration open system for transform cross-platform e-tailers,0.0
456,"Jackson, Holden and Gonzalez",Intuitive eco-centric productivity for iterate dot-com action-items,,Intuitive eco-centric productivity for iterate dot-com action-items,0.0
455,Huerta and Sons,Intuitive discrete contingency for repurpose synergistic schemas,,Intuitive discrete contingency for repurpose synergistic schemas,0.0
454,Roberts Ltd,Extended mission-critical intranet for matrix cross-media paradigms,,Extended mission-critical intranet for matrix cross-media paradigms,0.0
453,"Anderson, Stevens and Jensen",Pre-emptive high-level extranet for enhance value-added platforms,,Pre-emptive high-level extranet for enhance value-added platforms,0.0
452,"Cabrera, Levine and Underwood",Proactive analyzing Internet solution for engage web-enabled e-business,,Proactive analyzing Internet solution for engage web-enabled e-business,0.0
451,Harper-Boone,Open-source fault-tolerant knowledge user for embrace clicks-and-mortar e-services,,Open-source fault-tolerant knowledge user for embrace clicks-and-mortar e-services,0.0
450,Dunn LLC,Implemented mission-critical function for extend front-end niches,,Implemented mission-critical function for extend front-end niches,0.0
449,Bruce Group,Organized 3rdgeneration migration for deploy leading-edge portals,,Organized 3rdgeneration migration for deploy leading-edge portals,0.0
447,Myers and Sons,Organized upward-trending methodology for facilitate dynamic metrics,48.0,Organized upward-trending methodology for facilitate dynamic metrics,0.0
446,Rivera-Flores,Proactive client-server interface for expedite out-of-the-box ROI,47.0,Proactive client-server interface for expedite out-of-the-box ROI,0.0
445,Cardenas Group,Phased stable monitoring for facilitate robust architectures,46.0,Phased stable monitoring for facilitate robust architectures,0.0
444,Rodriguez PLC,Integrated object-oriented moratorium for aggregate vertical paradigms,45.0,Integrated object-oriented moratorium for aggregate vertical paradigms,0.0
443,"Miller, Jensen and Nash",User-centric bifurcated analyzer for synthesize interactive infrastructures,44.0,User-centric bifurcated analyzer for synthesize interactive infrastructures,0.0
442,Larson-Steele,Enhanced directional pricing structure for empower sticky interfaces,43.0,Enhanced directional pricing structure for empower sticky interfaces,0.0
441,Morgan Inc,Self-enabling tangible migration for repurpose bleeding-edge portals,42.0,Self-enabling tangible migration for repurpose bleeding-edge portals,0.0
440,"Anderson, Smith and Cox",Multi-tiered even-keeled matrix for synthesize back-end platforms,41.0,Multi-tiered even-keeled matrix for synthesize back-end platforms,0.0
439,Pope and Sons,Horizontal asymmetric Local Area Network for seize sticky bandwidth,40.0,Horizontal asymmetric Local Area Network for seize sticky bandwidth,0.0
437,Schwartz PLC,Polarized high-level software for morph strategic deliverables,38.0,Polarized high-level software for morph strategic deliverables,0.0
464,Davis-Meyers,Public-key client-driven orchestration for engineer synergistic interfaces,,Public-key client-driven orchestration for engineer synergistic interfaces,0.0
466,Smith PLC,Open-source grid-enabled contingency for target enterprise info-mediaries,,Open-source grid-enabled contingency for target enterprise info-mediaries,0.0
467,"Olson, Murray and Johnson",Synergistic 3rdgeneration extranet for repurpose 24/365 communities,,Synergistic 3rdgeneration extranet for repurpose 24/365 communities,0.0
484,"White, Lewis and Chambers",Synergized web-enabled utilization for syndicate transparent partnerships,,Synergized web-enabled utilization for syndicate transparent partnerships,0.0
497,Wiggins-Wright,Intuitive incremental implementation for synergize dynamic functionalities,,Intuitive incremental implementation for synergize dynamic functionalities,0.0
496,Brown Group,Object-based maximized groupware for deliver bricks-and-clicks niches,,Object-based maximized groupware for deliver bricks-and-clicks niches,0.0
495,"Reynolds, Bell and Russell",Centralized clear-thinking portal for syndicate best-of-breed vortals,,Centralized clear-thinking portal for syndicate best-of-breed vortals,0.0
494,Patel Ltd,Profit-focused executive moderator for redefine magnetic deliverables,,Profit-focused executive moderator for redefine magnetic deliverables,0.0
493,Coleman-Espinoza,Visionary human-resource capability for revolutionize turn-key interfaces,,Visionary human-resource capability for revolutionize turn-key interfaces,0.0
492,"Logan, Thomas and Calhoun",Mandatory tangible intranet for productize global experiences,,Mandatory tangible intranet for productize global experiences,0.0
491,"Burke, Prince and Sanders",Synergized national protocol for architect next-generation convergence,,Synergized national protocol for architect next-generation convergence,0.0
489,"Hill, Robbins and Cruz",Virtual contextually-based info-mediaries for iterate 24/365 info-mediaries,,Virtual contextually-based info-mediaries for iterate 24/365 info-mediaries,0.0
488,Savage-Jones,Customer-focused even-keeled encryption for engage cross-platform e-markets,,Customer-focused even-keeled encryption for engage cross-platform e-markets,0.0
487,Davis Group,Open-architected eco-centric knowledgebase for integrate virtual communities,,Open-architected eco-centric knowledgebase for integrate virtual communities,0.0
486,Juarez and Sons,Enterprise-wide non-volatile emulation for maximize robust vortals,,Enterprise-wide non-volatile emulation for maximize robust vortals,0.0
482,Powell-Hamilton,Enterprise-wide motivating circuit for reinvent proactive markets,,Enterprise-wide motivating circuit for reinvent proactive markets,0.0
468,Sullivan and Sons,User-centric mobile architecture for grow next-generation systems,,User-centric mobile architecture for grow next-generation systems,0.0
481,Weeks-Glass,Synchronized 4thgeneration collaboration for envisioneer distributed metrics,,Synchronized 4thgeneration collaboration for envisioneer distributed metrics,0.0
480,Johnson Ltd,Customer-focused logistical complexity for synergize customized portals,,Customer-focused logistical complexity for synergize customized portals,0.0
479,Bauer Ltd,Cross-platform uniform archive for aggregate plug-and-play bandwidth,,Cross-platform uniform archive for aggregate plug-and-play bandwidth,0.0
478,Brown-Ross,De-engineered systemic open system for engage distributed info-mediaries,,De-engineered systemic open system for engage distributed info-mediaries,0.0
477,Edwards Ltd,Reduced methodical hierarchy for target bricks-and-clicks e-markets,,Reduced methodical hierarchy for target bricks-and-clicks e-markets,0.0
476,Doyle-Foley,Persistent maximized portal for morph 24/7 communities,,Persistent maximized portal for morph 24/7 communities,0.0
475,Spence PLC,Monitored client-server system engine for mesh 24/7 ROI,,Monitored client-server system engine for mesh 24/7 ROI,0.0
474,Goodwin PLC,Enhanced methodical info-mediaries for re-intermediate strategic web-readiness,,Enhanced methodical info-mediaries for re-intermediate strategic web-readiness,0.0
471,"Gordon, Smith and Evans",User-friendly heuristic customer loyalty for implement bleeding-edge e-services,,User-friendly heuristic customer loyalty for implement bleeding-edge e-services,0.0
470,"Flores, Moore and Powell",Distributed radical structure for transition cross-media applications,,Distributed radical structure for transition cross-media applications,0.0
469,Lopez-Russo,Future-proofed multimedia approach for scale revolutionary models,,Future-proofed multimedia approach for scale revolutionary models,0.0
436,"Harrison, Garcia and Patterson",Cross-platform global methodology for visualize ubiquitous convergence,37.0,Cross-platform global methodology for visualize ubiquitous convergence,0.0
435,Coleman-Lopez,Managed composite structure for implement out-of-the-box models,36.0,Managed composite structure for implement out-of-the-box models,0.0
434,Decker-Grant,Customizable high-level encryption for engineer open-source partnerships,35.0,Customizable high-level encryption for engineer open-source partnerships,0.0
385,Castillo Group, Configurable grid-enabled toolset for visualize viral systems,, Configurable grid-enabled toolset for visualize viral systems,0.0
396,Jacobson Ltd, Vision-oriented optimizing monitoring for synthesize next-generation relationships,, Vision-oriented optimizing monitoring for synthesize next-generation relationships,0.0
395,Garcia LLC, Re-contextualized zero-defect matrices for expedite customized deliverables,, Re-contextualized zero-defect matrices for expedite customized deliverables,0.0
